kind,year,stusps,state_name,area,zcta,split
metro-zcta,2026,AL,Alabama,"Birmingham-Hoover, AL HMFA",35080,0
metro-zcta,2026,AL,Alabama,"Birmingham-Hoover, AL HMFA",35147,0
metro-zcta,2026,AL,Alabama,"Birmingham-Hoover, AL HMFA",35213,0
metro-zcta,2026,AL,Alabama,"Birmingham-Hoover, AL HMFA",35223,0
metro-zcta,2026,AL,Alabama,"Chilton County, AL HMFA",35040,1
metro-zcta,2026,AL,Alabama,"Huntsville, AL MSA",35763,0
metro-zcta,2026,AL,Alabama,"Mobile, AL MSA",36505,0
metro-zcta,2026,AL,Alabama,"Montgomery, AL MSA",36113,0
metro-zcta,2026,AL,Alabama,"Pickens County, AL HMFA",35461,0
metro-zcta,2026,AK,Alaska,"Anchorage, AK HMFA",99505,0
metro-zcta,2026,AK,Alaska,"Fairbanks-College, AK MSA",99702,0
metro-zcta,2026,AK,Alaska,"Fairbanks-College, AK MSA",99703,0
metro-zcta,2026,AZ,Arizona,"Flagstaff, AZ MSA",86001,0
metro-zcta,2026,AZ,Arizona,"Flagstaff, AZ MSA",86004,0
metro-zcta,2026,AZ,Arizona,"Flagstaff, AZ MSA",86011,0
metro-zcta,2026,AZ,Arizona,"Flagstaff, AZ MSA",86015,0
metro-zcta,2026,AZ,Arizona,"Lake Havasu City-Kingman, AZ MSA",86021,0
metro-zcta,2026,AZ,Arizona,"Lake Havasu City-Kingman, AZ MSA",86022,1
metro-zcta,2026,AZ,Arizona,"Lake Havasu City-Kingman, AZ MSA",86404,0
metro-zcta,2026,AZ,Arizona,"Lake Havasu City-Kingman, AZ MSA",86406,0
metro-zcta,2026,AZ,Arizona,"Lake Havasu City-Kingman, AZ MSA",86432,0
metro-zcta,2026,AZ,Arizona,"Lake Havasu City-Kingman, AZ MSA",86438,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85004,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85012,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85013,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85016,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85022,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85024,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85028,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85044,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85045,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85048,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85050,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85054,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85083,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85085,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85086,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85087,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85121,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85138,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85140,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85142,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85143,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85147,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85209,0
metro-zcta,2026,AZ,Arizona,"Phoenix-Mesa-Chandler, AZ MSA",85212,0
