kind,year,stusps,state_name,county_name
nonmetro-county,2026,AL,Alabama,Chambers County
nonmetro-county,2026,AL,Alabama,Washington County
nonmetro-county,2026,AK,Alaska,Aleutians East Borough
nonmetro-county,2026,AK,Alaska,Aleutians West Census Area
nonmetro-county,2026,AK,Alaska,Bethel Census Area
nonmetro-county,2026,AK,Alaska,Chugach Census Area
nonmetro-county,2026,AK,Alaska,Dillingham Census Area
nonmetro-county,2026,AK,Alaska,Haines Borough
nonmetro-county,2026,AK,Alaska,Hoonah-Angoon Census Area
nonmetro-county,2026,AK,Alaska,Juneau City and Borough
nonmetro-county,2026,AK,Alaska,Ketchikan Gateway Borough
nonmetro-county,2026,AK,Alaska,Kodiak Island
nonmetro-county,2026,AK,Alaska,Borough Nome Census Area
nonmetro-county,2026,AK,Alaska,North Slope Borough
nonmetro-county,2026,AK,Alaska,Northwest Arctic Borough
nonmetro-county,2026,AK,Alaska,Petersburg Census Area
nonmetro-county,2026,AK,Alaska,Skagway Municipality
nonmetro-county,2026,AK,Alaska,Southeast Fairbanks Census Area
nonmetro-county,2026,AZ,Arizona,Apache County
nonmetro-county,2026,AZ,Arizona,Gila County
nonmetro-county,2026,AZ,Arizona,Graham County
nonmetro-county,2026,AZ,Arizona,Greenlee County
nonmetro-county,2026,AZ,Arizona,La Paz County
nonmetro-county,2026,AZ,Arizona,Navajo County
nonmetro-county,2026,AZ,Arizona,Santa Cruz County
nonmetro-county,2026,AR,Arkansas,Baxter County
nonmetro-county,2026,AR,Arkansas,Calhoun County
nonmetro-county,2026,AR,Arkansas,Drew County
nonmetro-county,2026,AR,Arkansas,Hempstead County
nonmetro-county,2026,AR,Arkansas,Howard County
nonmetro-county,2026,AR,Arkansas,Jefferson County
nonmetro-county,2026,AR,Arkansas,Johnson County
nonmetro-county,2026,AR,Arkansas,Lincoln County
nonmetro-county,2026,AR,Arkansas,Marion County
nonmetro-county,2026,AR,Arkansas,Nevada County
nonmetro-county,2026,AR,Arkansas,Polk County
nonmetro-county,2026,AR,Arkansas,St. Francis County
nonmetro-county,2026,CA,California,Amador County
nonmetro-county,2026,CA,California,Calaveras County
nonmetro-county,2026,CA,California,Del Norte County
nonmetro-county,2026,CA,California,Glenn County
nonmetro-county,2026,CA,California,Humboldt County
nonmetro-county,2026,CA,California,Inyo County
nonmetro-county,2026,CA,California,Lake County
nonmetro-county,2026,CA,California,Lassen County
nonmetro-county,2026,CA,California,Mariposa County
nonmetro-county,2026,CA,California,Mendocino County
nonmetro-county,2026,CA,California,Mono County
nonmetro-county,2026,CA,California,Nevada County
nonmetro-county,2026,CA,California,Plumas County
nonmetro-county,2026,CA,California,Sierra County
nonmetro-county,2026,CA,California,Siskiyou County
nonmetro-county,2026,CA,California,Tehama County
nonmetro-county,2026,CA,California,Tuolumne County
nonmetro-county,2026,CO,Colorado,Crowley County
nonmetro-county,2026,CO,Colorado,Eagle County
nonmetro-county,2026,CO,Colorado,Garfield County
nonmetro-county,2026,CO,Colorado,La Plata County
nonmetro-county,2026,CO,Colorado,Mineral County
nonmetro-county,2026,CO,Colorado,Ouray County
nonmetro-county,2026,CO,Colorado,Pitkin County
nonmetro-county,2026,CO,Colorado,Routt County
nonmetro-county,2026,CO,Colorado,San Miguel County
nonmetro-county,2026,CO,Colorado,Summit County
nonmetro-county,2026,CT,Connecticut,Northeastern Connecticut Planning Region
nonmetro-county,2026,CT,Connecticut,Northwest Hills Planning Region
nonmetro-county,2026,DE,Delaware,Sussex County
nonmetro-county,2026,FL,Florida,Columbia County
nonmetro-county,2026,FL,Florida,DeSoto County
nonmetro-county,2026,FL,Florida,Dixie County
nonmetro-county,2026,FL,Florida,Franklin County
nonmetro-county,2026,FL,Florida,Glades County
nonmetro-county,2026,FL,Florida,Gulf County
nonmetro-county,2026,FL,Florida,Hardee County
nonmetro-county,2026,FL,Florida,Hendry County
nonmetro-county,2026,FL,Florida,Lafayette County
nonmetro-county,2026,FL,Florida,Madison County
nonmetro-county,2026,FL,Florida,Monroe County
nonmetro-county,2026,FL,Florida,Okeechobee County
nonmetro-county,2026,FL,Florida,Putnam County
nonmetro-county,2026,FL,Florida,Suwannee County
